Artista,Genero,URL
25 ta Life,punk rock,https://en.m.wikipedia.org/wiki/25_ta_Life
26-peter-zagar,20th-century classical,https://hc.sk/en/hudba/osobnost-detail/26-peter-zagar
28 Days (band),hip-hop,https://en.m.wikipedia.org/wiki/28_Days_(band)
28 Days (band),punk rock,https://en.m.wikipedia.org/wiki/28_Days_(band)
2BACKKA,J-pop,https://en.m.wikipedia.org/wiki/2BACKKA
2face Idibia,reggae fusion,https://en.m.wikipedia.org/wiki/2face_Idibia
2moro,C-pop,https://en.wikipedia.org/wiki/2moro
2nd Chapter of Acts,Christian rock,https://en.wikipedia.org/wiki/2nd_Chapter_of_Acts
2nd II None,hip-hop,https://en.m.wikipedia.org/wiki/2nd_II_None
2nd Nature (boy band),R&B,https://en.m.wikipedia.org/wiki/2nd_Nature_(boy_band)
2NE1,hip-hop,https://en.m.wikipedia.org/wiki/2NE1
2o Love to Sweet Bullet,J-pop,https://en.m.wikipedia.org/wiki/2o_Love_to_Sweet_Bullet
2Rude,R&B,https://en.m.wikipedia.org/wiki/2Rude
"2Tm2,3",Christian metal,"https://en.wikipedia.org/wiki/2Tm2,3"
3 Doors Down,alternative rock,https://en.m.wikipedia.org/wiki/3_Doors_Down
3 Doors Down,mainstream rock,https://en.m.wikipedia.org/wiki/3_Doors_Down
3 Feet Smaller,punk rock,https://en.m.wikipedia.org/wiki/3_Feet_Smaller
3 of a Kind (band),UK garage,https://en.m.wikipedia.org/wiki/3_of_a_Kind_(band)
30 Foot Fall,punk rock,https://en.m.wikipedia.org/wiki/30_Foot_Fall
30 Roc,R&B,https://en.m.wikipedia.org/wiki/30_Roc
311 (band),alternative metal,https://en.wikipedia.org/wiki/311_(band)
311 (band),alternative rock,https://en.m.wikipedia.org/wiki/311_(band)
311 (band),dance-punk,https://en.wikipedia.org/wiki/311_(band)
311 (band),funk rock and funk metal,https://en.m.wikipedia.org/wiki/311_(band)
311 (band),mainstream rock,https://en.m.wikipedia.org/wiki/311_(band)
311 (band),nu metal,https://en.m.wikipedia.org/wiki/311_(band)
