URL,Texto,H1,H2,H3,H4,H5,H6,H7
https://en.wikipedia.org/wiki/Lounge_music,Lounge music,Easy listening,Lounge music,,,,,
https://en.wikipedia.org/wiki/Middle_of_the_road_(music),Middle of the road,Easy listening,Middle of the road,,,,,
https://en.wikipedia.org/wiki/New-age_music,New-age music,Easy listening,New-age music,,,,,
https://en.wikipedia.org/wiki/Soft_rock,Soft rock,Easy listening,Soft rock,,,,,
https://en.wikipedia.org/wiki/Ambient_music,Ambient,Electronic,Ambient,,,,,
https://en.wikipedia.org/wiki/Ambient_dub,Ambient dub,Electronic,Ambient,,Ambient dub,,,
https://en.wikipedia.org/wiki/Dark_ambient,Dark ambient,Electronic,Ambient,,Dark ambient,,,
https://en.wikipedia.org/wiki/Dungeon_synth,Dungeon synth,Electronic,Ambient,,Dark ambient,Dungeon synth,,
https://en.wikipedia.org/wiki/Dark_ambient,Isolationism,Electronic,Ambient,,Dark ambient,Isolationism,,
https://en.wikipedia.org/wiki/Dreampunk,Dreampunk,Electronic,Ambient,,Dreampunk,,,
https://en.wikipedia.org/wiki/Illbient,Illbient,Electronic,Ambient,,Illbient,,,
https://en.wikipedia.org/wiki/New-age_music,New-age,Electronic,Ambient,,New-age,,,
https://en.wikipedia.org/wiki/Neoclassical_new-age_music,Neoclassical new-age,Electronic,Ambient,,New-age,Neoclassical new-age,,
https://en.wikipedia.org/wiki/Space_music,Space music,Electronic,Ambient,,New-age,Space music,,
https://en.wikipedia.org/wiki/Bass_music,Bass music,Electronic,Bass music,,,,,
https://en.wikipedia.org/wiki/Footwork_(genre),Footwork,Electronic,Bass music,,Footwork,,,
https://en.wikipedia.org/wiki/Future_bass,Future bass,Electronic,Bass music,,Future bass,,,
https://en.wikipedia.org/wiki/Kawaii_future_bass,Kawaii future bass,Electronic,Bass music,,Future bass,Kawaii future bass,,
https://en.wikipedia.org/wiki/Midtempo_bass,Midtempo bass,Electronic,Bass music,,Midtempo bass,,,
https://en.wikipedia.org/wiki/Trap_music_(EDM),Trap (EDM),Electronic,Bass music,,Trap (EDM),,,
https://en.wikipedia.org/wiki/UK_bass,UK bass,Electronic,Bass music,,UK bass,,,
https://en.wikipedia.org/wiki/Wave_music,Wave,Electronic,Bass music,,Wave,,,
https://en.wikipedia.org/wiki/Hardwave,Hardwave,Electronic,Bass music,,Wave,Hardwave,,
https://en.wikipedia.org/wiki/Breakbeat,Breakbeat,Electronic,Breakbeat,,,,,
https://en.wikipedia.org/wiki/Acid_breaks,Acid breaks,Electronic,Breakbeat,,Acid breaks,,,
https://en.wikipedia.org/wiki/Baltimore_club,Baltimore club,Electronic,Breakbeat,,Baltimore club,,,
https://en.wikipedia.org/wiki/Jersey_club,Jersey club,Electronic,Breakbeat,,Baltimore club,Jersey club,,
https://en.wikipedia.org/wiki/Philly_club,Philly club,Electronic,Breakbeat,,Baltimore club,Philly club,,
https://en.wikipedia.org/wiki/Big_beat,Big beat,Electronic,Breakbeat,,Big beat,,,
https://en.wikipedia.org/wiki/Breakbeat_hardcore,Breakbeat hardcore,Electronic,Breakbeat,,Breakbeat hardcore,,,
https://en.wikipedia.org/wiki/Darkcore,Darkcore,Electronic,Breakbeat,,Breakbeat hardcore,Darkcore,,
https://en.wikipedia.org/wiki/Broken_beat,Broken beat,Electronic,Breakbeat,,Broken beat,,,
https://en.wikipedia.org/wiki/Florida_breaks,Florida breaks,Electronic,Breakbeat,,Florida breaks,,,
https://en.wikipedia.org/wiki/Nu_skool_breaks,Nu skool breaks,Electronic,Breakbeat,,Nu skool breaks,,,
https://en.wikipedia.org/wiki/Progressive_breaks,Progressive breaks,Electronic,Breakbeat,,Progressive breaks,,,
